model,num_rules,accuracy_std
anthropic/claude-3.5-haiku,10,4.472135954999579
anthropic/claude-3.5-haiku,20,4.47213595499958
anthropic/claude-3.5-haiku,30,3.8005847503304615
anthropic/claude-3.5-haiku,40,7.416198487095662
anthropic/claude-3.5-haiku,50,5.0990195135927845
anthropic/claude-3.5-haiku,60,6.972166887783963
anthropic/claude-3.5-haiku,70,12.470373053025826
anthropic/claude-3.5-haiku,80,6.937218462755805
anthropic/claude-3.5-haiku,90,3.0020569080236235
anthropic/claude-3.5-haiku,100,6.58027355054484
anthropic/claude-3.5-haiku,110,5.118432094639731
anthropic/claude-3.5-haiku,120,3.084459253886958
anthropic/claude-3.5-haiku,130,2.1345287577710175
anthropic/claude-3.5-haiku,140,4.3624089956007035
anthropic/claude-3.5-haiku,150,4.8671232662517285
anthropic/claude-3.5-haiku,160,2.9315098498896437
anthropic/claude-3.5-haiku,170,4.254043466297539
anthropic/claude-3.5-haiku,180,3.027650354097492
anthropic/claude-3.5-haiku,190,2.9912152080805927
anthropic/claude-3.5-haiku,200,2.0796634343085425
anthropic/claude-3.5-haiku,210,3.0602417167732616
anthropic/claude-3.5-haiku,220,1.244823994329924
anthropic/claude-3.5-haiku,230,2.608695652173913
anthropic/claude-3.5-haiku,240,2.835170972700667
anthropic/claude-3.5-haiku,250,1.8242806801586215
anthropic/claude-3.5-haiku,260,4.24298934477588
anthropic/claude-3.5-haiku,270,1.4200214453837643
anthropic/claude-3.5-haiku,280,1.9463466562055303
anthropic/claude-3.5-haiku,290,1.3706625458173645
anthropic/claude-3.5-haiku,300,1.0540925533894603
anthropic/claude-3.5-haiku,310,2.07055568204919
anthropic/claude-3.5-haiku,320,0.9529969176235571
anthropic/claude-3.5-haiku,330,1.1814296175526016
anthropic/claude-3.5-haiku,340,1.7074029733764693
anthropic/claude-3.5-haiku,350,1.2355284748822661
anthropic/claude-3.5-haiku,360,1.2638125740085917
anthropic/claude-3.5-haiku,370,1.4975021813183857
anthropic/claude-3.5-haiku,380,0.9378173516423928
anthropic/claude-3.5-haiku,390,0.6175176707072979
anthropic/claude-3.5-haiku,400,0.7071067811865474
anthropic/claude-3.5-haiku,410,1.0115337245525724
anthropic/claude-3.5-haiku,420,1.070105002583059
anthropic/claude-3.5-haiku,430,1.346027546836073
anthropic/claude-3.5-haiku,440,1.3115034587503194
anthropic/claude-3.5-haiku,450,0.5305482838361477
anthropic/claude-3.5-haiku,460,1.4370864244381227
anthropic/claude-3.5-haiku,470,1.6685518235487364
anthropic/claude-3.5-haiku,480,0.7711148134717394
anthropic/claude-3.5-haiku,490,1.050574504182347
anthropic/claude-3.5-haiku,500,0.8074651695274538
anthropic/claude-3.7-sonnet,10,0.0
anthropic/claude-3.7-sonnet,20,2.23606797749979
anthropic/claude-3.7-sonnet,30,0.0
anthropic/claude-3.7-sonnet,40,1.118033988749895
anthropic/claude-3.7-sonnet,50,0.8944271909999173
anthropic/claude-3.7-sonnet,60,1.3944333775567899
anthropic/claude-3.7-sonnet,70,0.7824607964359611
anthropic/claude-3.7-sonnet,80,3.468609231377902
anthropic/claude-3.7-sonnet,90,3.8005847503304606
anthropic/claude-3.7-sonnet,100,3.271085446759227
anthropic/claude-3.7-sonnet,110,2.603240193322973
anthropic/claude-3.7-sonnet,120,4.894725051862808
anthropic/claude-3.7-sonnet,130,5.412018184411647
anthropic/claude-3.7-sonnet,140,3.088821187205669
anthropic/claude-3.7-sonnet,150,5.8575687030636825
anthropic/claude-3.7-sonnet,160,3.9181070046643707
anthropic/claude-3.7-sonnet,170,5.4709044816877235
anthropic/claude-3.7-sonnet,180,3.2250945052666626
anthropic/claude-3.7-sonnet,190,9.726167690829651
anthropic/claude-3.7-sonnet,200,10.632497354808041
anthropic/claude-3.7-sonnet,210,7.37711113563318
anthropic/claude-3.7-sonnet,220,22.12287249891627
anthropic/claude-3.7-sonnet,230,5.892868394984308
anthropic/claude-3.7-sonnet,240,6.656241849238618
anthropic/claude-3.7-sonnet,250,4.869496893930629
anthropic/claude-3.7-sonnet,260,10.039124646533638
anthropic/claude-3.7-sonnet,270,11.613931372297623
anthropic/claude-3.7-sonnet,280,6.908660639858835
anthropic/claude-3.7-sonnet,290,9.313537128323793
anthropic/claude-3.7-sonnet,300,1.3864422895390336
anthropic/claude-3.7-sonnet,310,3.481779539503693
anthropic/claude-3.7-sonnet,320,7.30073840443554
anthropic/claude-3.7-sonnet,330,1.880253582725885
anthropic/claude-3.7-sonnet,340,4.285446523189174
anthropic/claude-3.7-sonnet,350,5.312288411152515
anthropic/claude-3.7-sonnet,360,8.50154306981393
anthropic/claude-3.7-sonnet,370,8.509437033478468
anthropic/claude-3.7-sonnet,380,4.705304368122854
anthropic/claude-3.7-sonnet,390,3.8987851915380927
anthropic/claude-3.7-sonnet,400,7.443537465479701
anthropic/claude-3.7-sonnet,410,3.721410950782565
anthropic/claude-3.7-sonnet,420,7.202922057595825
anthropic/claude-3.7-sonnet,430,6.228044182798322
anthropic/claude-3.7-sonnet,440,3.9345103762509606
anthropic/claude-3.7-sonnet,450,5.487584190416906
anthropic/claude-3.7-sonnet,460,7.960203472240557
anthropic/claude-3.7-sonnet,470,5.827612577781962
anthropic/claude-3.7-sonnet,480,3.2662520995443365
anthropic/claude-3.7-sonnet,490,3.5949661691872694
anthropic/claude-3.7-sonnet,500,8.441089977011265
anthropic/claude-opus-4,10,0.0
anthropic/claude-opus-4,20,0.0
anthropic/claude-opus-4,30,0.0
anthropic/claude-opus-4,40,1.3693063937629144
anthropic/claude-opus-4,50,0.0
anthropic/claude-opus-4,60,2.1730674684008853
anthropic/claude-opus-4,70,0.7824607964359468
anthropic/claude-opus-4,80,3.6869703009381563
anthropic/claude-opus-4,90,3.0429030972509237
anthropic/claude-opus-4,100,4.722287581247036
anthropic/claude-opus-4,110,7.5130740041434105
anthropic/claude-opus-4,120,3.061862178478972
anthropic/claude-opus-4,130,7.626642804889503
anthropic/claude-opus-4,140,1.7053337694733306
anthropic/claude-opus-4,150,5.925462944877054
anthropic/claude-opus-4,160,10.009760861279354
anthropic/claude-opus-4,170,5.084068337960439
anthropic/claude-opus-4,180,8.612007121842538
anthropic/claude-opus-4,190,9.454659259722245
anthropic/claude-opus-4,200,7.404390589373306
anthropic/claude-opus-4,210,7.0710678118654755
anthropic/claude-opus-4,220,6.387940601161453
anthropic/claude-opus-4,230,7.943562741989066
anthropic/claude-opus-4,240,10.706793015028666
anthropic/claude-opus-4,250,3.913055072446587
anthropic/claude-opus-4,260,15.944151790903176
anthropic/claude-opus-4,270,10.603853118570603
anthropic/claude-opus-4,280,12.063818395753238
anthropic/claude-opus-4,290,9.141508733588687
anthropic/claude-opus-4,300,7.822332701240013
anthropic/claude-opus-4,310,11.629468471976134
anthropic/claude-opus-4,320,5.906167327463725
anthropic/claude-opus-4,330,7.9264293870747915
anthropic/claude-opus-4,340,9.675978889706636
anthropic/claude-opus-4,350,6.409177093855976
anthropic/claude-opus-4,360,6.987643414902281
anthropic/claude-opus-4,370,12.662962563758983
anthropic/claude-opus-4,380,4.60338307487787
anthropic/claude-opus-4,390,7.627073822596189
anthropic/claude-opus-4,400,8.156669050537726
anthropic/claude-opus-4,410,4.836407632368953
anthropic/claude-opus-4,420,10.321641399464443
anthropic/claude-opus-4,430,26.62633284673901
anthropic/claude-opus-4,440,8.883427787526523
anthropic/claude-opus-4,450,3.7725453960730664
anthropic/claude-opus-4,460,5.473773179136595
anthropic/claude-opus-4,470,18.653763135915188
anthropic/claude-opus-4,480,13.356100354020507
anthropic/claude-opus-4,490,17.2841601113231
anthropic/claude-opus-4,500,14.003856611662371
anthropic/claude-opus-4-high-reasoning,10,17.888543819998315
anthropic/claude-opus-4-high-reasoning,20,0.0
anthropic/claude-opus-4-high-reasoning,30,0.0
anthropic/claude-opus-4-high-reasoning,40,17.64227876437735
anthropic/claude-opus-4-high-reasoning,50,0.8944271909999173
anthropic/claude-opus-4-high-reasoning,60,1.49071198499986
anthropic/claude-opus-4-high-reasoning,70,2.555506259999762
anthropic/claude-opus-4-high-reasoning,80,41.57636047082524
anthropic/claude-opus-4-high-reasoning,90,23.562367987644734
anthropic/claude-opus-4-high-reasoning,100,31.767908335299634
anthropic/claude-opus-4-high-reasoning,110,6.050749560834092
anthropic/claude-opus-4-high-reasoning,120,1.9184774055368883
anthropic/claude-opus-4-high-reasoning,130,2.6868075687035384
anthropic/claude-opus-4-high-reasoning,140,4.2857142857142785
anthropic/claude-opus-4-high-reasoning,150,7.823042886243177
anthropic/claude-opus-4-high-reasoning,160,6.133285212673547
anthropic/claude-opus-4-high-reasoning,170,4.188466616215979
anthropic/claude-opus-4-high-reasoning,180,6.16891850777391
anthropic/claude-opus-4-high-reasoning,190,7.7566877587118075
anthropic/claude-opus-4-high-reasoning,200,6.50384501660364
anthropic/claude-opus-4-high-reasoning,210,4.219058368254609
anthropic/claude-opus-4-high-reasoning,220,16.59059775548481
anthropic/claude-opus-4-high-reasoning,230,12.49423307423956
anthropic/claude-opus-4-high-reasoning,240,7.213269023126756
anthropic/claude-opus-4-high-reasoning,250,8.165292401377924
anthropic/claude-opus-4-high-reasoning,260,4.015502503427133
anthropic/claude-opus-4-high-reasoning,270,12.282678760387089
anthropic/claude-opus-4-high-reasoning,280,8.116655840973936
anthropic/claude-opus-4-high-reasoning,290,17.93169760047053
anthropic/claude-opus-4-high-reasoning,300,3.0605010483034762
anthropic/claude-opus-4-high-reasoning,310,4.184854511697998
anthropic/claude-opus-4-high-reasoning,320,5.9317406277584315
anthropic/claude-opus-4-high-reasoning,330,11.235438489585524
anthropic/claude-opus-4-high-reasoning,340,6.061250227903441
anthropic/claude-opus-4-high-reasoning,350,9.721845797701464
anthropic/claude-opus-4-high-reasoning,360,5.714395942499462
anthropic/claude-opus-4-high-reasoning,370,11.60337977513404
anthropic/claude-opus-4-high-reasoning,380,22.168924620661357
anthropic/claude-opus-4-high-reasoning,390,4.5594906113631195
anthropic/claude-opus-4-high-reasoning,400,12.62982581035859
anthropic/claude-opus-4-high-reasoning,410,11.179674767186185
anthropic/claude-opus-4-high-reasoning,420,4.496786456501371
anthropic/claude-opus-4-high-reasoning,430,7.689203517278264
anthropic/claude-opus-4-high-reasoning,440,29.927857472471395
anthropic/claude-opus-4-high-reasoning,450,13.269848864583535
anthropic/claude-opus-4-high-reasoning,460,5.757792451369143
anthropic/claude-opus-4-high-reasoning,470,2.483079908237474
anthropic/claude-opus-4-high-reasoning,480,4.415978720007104
anthropic/claude-opus-4-high-reasoning,490,9.957845343331861
anthropic/claude-opus-4-high-reasoning,500,7.617873719089863
anthropic/claude-sonnet-4,10,0.0
anthropic/claude-sonnet-4,20,0.0
anthropic/claude-sonnet-4,30,0.0
anthropic/claude-sonnet-4,40,1.3693063937629169
anthropic/claude-sonnet-4,50,1.4142135623730963
anthropic/claude-sonnet-4,60,1.178511301977575
anthropic/claude-sonnet-4,70,2.390457218668791
anthropic/claude-sonnet-4,80,2.0539595906443733
anthropic/claude-sonnet-4,90,3.9596732624900985
anthropic/claude-sonnet-4,100,2.9664793948382657
anthropic/claude-sonnet-4,110,4.388188504053519
anthropic/claude-sonnet-4,120,1.5590239111558082
anthropic/claude-sonnet-4,130,2.395755615753451
anthropic/claude-sonnet-4,140,4.601463830973265
anthropic/claude-sonnet-4,150,5.05525029603437
anthropic/claude-sonnet-4,160,1.2960275845829825
anthropic/claude-sonnet-4,170,7.204381596421107
anthropic/claude-sonnet-4,180,5.1159397480983735
anthropic/claude-sonnet-4,190,16.23238444311683
anthropic/claude-sonnet-4,200,4.183300132670378
anthropic/claude-sonnet-4,210,11.15241755107654
anthropic/claude-sonnet-4,220,15.90584382447517
anthropic/claude-sonnet-4,230,7.427023665594489
anthropic/claude-sonnet-4,240,7.509253550712544
